Name,Accounts,Amount,Analytics,Category,Created time,Date,Duplicate x5 from here,Exclude Value,Expense Value,Last edited time,Record Value,Schedule Value,Transaction Status,Type
School - Food,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€6.00,Include In Analytics,Eating Out (https://www.notion.so/Eating-Out-2474bf6b83b38019a879f5b5140cd70b?pvs=21),"September 19, 2025 12:27 PM","September 19, 2025",,,€6.00,"September 19, 2025 12:27 PM",-€6.00,,✓ Logged,Single
Mutualité Chrétienne,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:36 PM","October 4, 2025 12:36 (GMT+2)",,,,"September 19, 2025 12:37 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
"Mutualité Chrétienne ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:39 PM","January 4, 2026 12:36 (GMT+1)",,,,"September 19, 2025 12:39 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
"Mutualité Chrétienne ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:39 PM","April 4, 2026 12:36 (GMT+2)",,,,"September 19, 2025 12:39 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
"Mutualité Chrétienne ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:39 PM","July 4, 2026 12:36 (GMT+2)",,,,"September 19, 2025 12:39 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
"Mutualité Chrétienne ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:39 PM","October 4, 2026 12:36 (GMT+2)",,,,"September 19, 2025 12:39 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
"Mutualité Chrétienne ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€50.00,Include In Analytics,Health (https://www.notion.so/Health-2734bf6b83b380999396fea734b9b32a?pvs=21),"September 19, 2025 12:39 PM","January 4, 2027 12:36 (GMT+1)",,,,"September 19, 2025 12:39 PM",,-€50.00,🗓️ Scheduled,Every 3 Months
Assurance Vandeborre,Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:39 PM","September 5, 2025 0:00 (GMT+2)",,,€15.00,"September 19, 2025 12:41 PM",-€15.00,,✓ Logged,Every 1 Month
"Assurance Vandeborre ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","October 5, 2025 0:00 (GMT+2)",,,,"September 19, 2025 12:41 PM",,-€15.00,🗓️ Scheduled,Every 1 Month
"Assurance Vandeborre ",Main (https://www.notion.so/Main-2474bf6b83b380179e0fd1270115fc8a?pvs=21),-€15.00,Include In Analytics,Subscriptions (https://www.notion.so/Subscriptions-2474bf6b83b38066a512d2e2e51b6ba0?pvs=21),"September 19, 2025 12:41 PM","November 5, 2025 0:00 (GMT+1)",,,,"September 19, 2025 12:41 PM",,-€15.00,🗓️ Scheduled,Every 1 Month
